"3D SECURE Credit Card (Quick Pay)","Tarjeta de Crédito 3D SECURE (Quick Pay)"
"You can now buy on-line using either the same secret PIN you use to take money out of a cash machine or a new special PIN with its own secret code which your bank will provide over the phone or on-line at their website.","A partir de ahora podrá comprar introduciendo su PIN secreto usado en los cajeros automáticos o bien pidiendo un nuevo PIN especial (clave secreta) para compras por Internet que su propio banco le facilitará por teléfono u on-line mediante su correspondiente banca electrónica."
"This method makes on-line fraud impossible and guarantees total security and confidence in your transactions.","De esta manera se hace imposible el fraude en la red y garantiza la total seguridad y confidencialidad de las transacciones."
"It also means that it will no longer be necessary for you to fax through a copy of your DNI or payment receipt to identify the cardholder. Your order will be processed more easily, quickly, safely and discretely.","Ya no será necesario el envío por fax de copia del D.N.I. y de pago de recibo para identificar el titular de la tarjeta. Su pedido se tramitará de forma más sencilla, rápida, segura y discreta."
"For your security we have switched to 3D SECURE, the new payment method developed by Visa and MasterCard which identifies the buyer as the legitimate cardholder, enabling safe internet usage.","Por tu seguridad hemos implantado el pago 3D SECURE, la nueva forma de pago desarrollada por Visa y Mastercard que posibilita la realización de compras seguras en Internet y autentifica al comprador como legítimo titular de la tarjeta que está utilizando."
"The card that offers extra security when buying on-line.","La misma tarjeta a&ntilde;ade m&aacute;s seguridad on-line."
"Verified by Visa is a new service that enables you to buy on-line with extra confidence.","Verified by Visa es un nuevo servicio que permite comprar on-line con una cofianza a&ntilde;adida."
"By means of a simple verification process, Verified by Visa confirms your identity when you buy from an on-line store that uses the Verified by Visa system. It is practical and works with your existing Visa card.","A trav&eacute;s de un simple proceso de verificaci&oacute;n, Verified by Visa confirma su identidad cuando hace una compra en las tiendas on-line, adscritas al sistema Verified by Visa. Es pr&aacute;ctico y funciona con su propia tarjeta Visa."
"Furthermore, Verified by Visa is easy to use. You only need to register your card and create your own password once. When you use this system to make an on-line purchase, a Verified by Visa window will appear. Simply enter your password and confirm. Your identity will be verified and the purchase will be secured.","Y adem&aacute;s Verified by Visa es de f&aacute;cil uso. Usted registra su tarjeta solo una vez y crea su propia contrase&ntilde;a. Cuando con dicho sistema hace una compra on-line, aparece una ventana de Verified by Visa. Simplemente introduzca su contrase&ntilde;a y haga clic. Su identidad ser&aacute; verificada y la compra asegurada."
"To activate Verified by Visa on your Visa card, or for further details, contact your card issuer. <a href='http://www.visa.com/verified'>visa.com/verified</a>.","Para activar Verified by Visa en su tarjeta Visa, o para m&aacute;s informaci&oacute;n, contacte con la entidad emisora de su tarjeta. <a href='http://www.visa.com/verified'>visa.com/verified</a>."
"Introducing...'Mastercard SecureCode'","Introduciendo...'Mastercard SecureCode'"
"MasterCard <sup>&reg;</sup> SecureCode<small><sup>TM</sup></small> is a new service provided by MasterCard and your card issuer which offers extra protection when you buy on-line. There is no need to get a new Mastercard or Maestro&reg;. You choose your own personal MasterCard SecureCode that you do not need to share with any on-line retailer. A private code means extra protection against unauthorised use of your credit or debit card when you buy on-line.","MasterCard <sup>&reg;</sup> SecureCode<small><sup>TM</sup></small> es un nuevo servicio de MasterCard y de su emisor de tarjeta que proporciona proteccion adicional cuando usted realiza compras online. No hay necesidad de obtener una nueva tarjeta MasterCard o Maestro&reg;. Usted escoge su propio MasterCard SecureCode personal y &eacute;ste nunca es compartido con ning&uacute;n comercio. Un c&oacute;digo privado significa protecci&oacute;n adicional contra el uso no autorizado de su tarjeta de cr&eacute;dito y de d&eacute;bito cuando usted compre online."
"Each time you pay on-line with your MasterCard or Maestro, a window from your card issuer will appear asking you for your personal SecureCode as if you were using a cash machine. Within seconds your card issuer will confirm it is you and allow you to complete your purchase.","Cada vez que pague online con su tarjeta MasterCard o Maestro, una ventana que proviene de su emisor de tarjeta se abre pregunt&aacute;ndole por su SecureCode personal, tal como su banco le pregunta en el cajero autom&aacute;tico. En segundos, su emisor de tarjeta confirma que es usted y le permite completar su compra."
"For more information about MasterCode SecureCode, visit <a href='http://www.mastercardsecurecode.com' target='_blank'>www.mastercardsecurecode.com</a>","Para obtener m&aacute;s informaci&oacute;n sobre MasterCard SecureCode dir&iacute;jase a <a href='http://www.mastercardsecurecode.com' target='_blank'>www.mastercardsecurecode.com</a>"
"When you confirm the order we will divert you to the paytpv.com payment site, which is the safest and easiest way of paying on-line.","Al confirmar el pedido te derivaremos a la pasarela de pago de paytpv.com, la forma m&aacute;s segura y sencilla de pagar por internet."
